Geração,Tipo,ID,Nome,Grupo,Aniversário,Vocal,Dance,Rap,Center,Visual,Especialidade,Conceitos predominantes,Gêneros predominantes,Pontos Fortes,Pontos Fracos
4,idol,ichillinchowon,Chowon,ICHILLIN',18-08-2005,A,B,D,B,B,,Maknae / Supporting Vocal,,"""Envolvente em performances de grupo""","""Técnica individual ainda em fase inicial"""
4,idol,ichilline.ji,E.Ji,ICHILLIN',08-11-2000,B,A,D,A,B,,Leader / Main Dancer / Pop,,"""Excelente performance de dança, vocal sólido""","""Rap-line ainda menos pronunciada"""
4,idol,ichillinjackie,Jackie,ICHILLIN',17-11-2001,C,B,S,C,B,,Main Rap / Urban Pop,,"""Rap de destaque, boa coordenação de dança""","""Técnica vocal principal ainda em desenvolvimento"""
4,idol,ichillinjiyoon,Jiyoon,ICHILLIN',15-09-2000,A,B,D,C,B,,Main Vocal / Elegant Pop,,"""Visual de destaque, vocais consistentes""","""Técnica de dança e rap menos marcada"""
4,idol,ichillinjoonie,Joonie,ICHILLIN',24-05-2002,C,B,A,C,B,,Lead Rap / Pop Hybrid,,"""Vocais de suporte confiáveis""","""Dança e rap menos evidentes"""
4,idol,ichillinyeju,Yeju,ICHILLIN',01-09-2004,B,B,D,A,A,,Dance / Visual / Youth Pop,,"""Boa dança, presença de palco""","""Técnica vocal principal moderada"""
5,idol,ifeyekasia,Kasia,ifeye,15-02-2008,C,A,B,A,C,,Leader / Rap Focus,,"""Rap sólida, boa presença de palco""","""Técnica vocal principal ainda em evolução"""
5,idol,ifeyemeu,Meu,ifeye,09-06-2008,B,B,D,B,B,,Lead Vocal / Performance,,"""Boa dança, presença de palco agradável""","""Alcance vocal mais limitado"""
5,idol,ifeyerahee,Rahee,ifeye,06-12-2007,C,B,B,B,C,,All-rounder,,"""Versatilidade e suporte estável""","""Especialização técnica ainda em crescimento"""
5,idol,ifeyesasha,Sasha,ifeye,20-05-2009,A,A,B,A,B,,Visual / Maknae Support,,"""Visual forte, expressividade para câmera""","""Técnica vocal e rap iniciante"""
5,idol,ifeyetaerin,Taerin,ifeye,03-07-2006,B,A,D,C,B,,Main Dancer / Pop,,"""Dança muito boa, presença coreográfica forte""","""Técnica vocal principal mediana"""
5,idol,ifeyewonhwayeon,Won Hwayeon,ifeye,24-06-2006,B,B,D,B,A,,Vocalist / Pop Rookie,,"""Vocal promissor, timbre limpo""","""Dança e rap menos destacados"""
5,idol,iiieungi,Eungi,iii,16-08-2004,D,D,D,C,B,,Performance / Pop Hybrid,,"""Boa dança, suporte vocal estável""","""Técnica de vocal e rap ainda em fase emergente"""
5,idol,iiihana,Hana,iii,22-05-2004,C,B,D,C,C,,Visual / Supporting Vocal,,"""Visual forte e presença de palco iniciais""","""Dança e rap com menor evidência técnica"""
5,idol,iiihuranformer,Huran (former),iii,05-11-2006,B,B,D,B,B,,Rap Focus / Urban Pop,,"""Rap destaque entre rookies""","""Vocal e dança com margem de crescimento"""
5,idol,iiinamkhing,Namkhing,iii,19-12-2007,D,A,D,B,B,,Maknae / Supporting Line,,"""Presença de grupo e potencial visível""","""Técnica geral menos desenvolvida"""
5,idol,iiisoobin,Soobin,iii,23-06-2006,B,B,D,B,B,,Leader / Main Vocal,,"""Nome revelado líder, estabilidade vocal para uma rookie""","""Ainda precisa de maior amplitude e técnica refinada"""
5,idol,iiitaeri,Taeri,iii,21-09-2002,B,B,D,B,C,,Lead Vocal / Dance Focus,,"""Boa dança e performance corporal para rookie""","""Técnica vocal principal ainda crescente"""
5,idol,illitiroha,Iroha,ILLIT,04-02-2008,B,S,D,B,A,,Maknae / Visual Support,,"""Visual agradável, suportes estáveis""","""Técnica geral ainda em fase de crescimento"""
5,idol,illitminju,Minju,ILLIT,11-05-2004,B,B,D,A,A,,Main Vocal / Visual,,"""Visual forte, vocal confiável""","""Técnica de rap e dance menos evidentes"""
5,idol,illitmoka,Moka,ILLIT,08-10-2004,C,B,D,B,A,,Main Dance / Performance Focus,,"""Dança refinada, performance visível""","""Técnica vocal principal menos refinada"""
5,idol,illitwonhee,Wonhee,ILLIT,26-06-2007,A,B,D,A,A,,Rap / Urban Pop,,"""Rap de destaque, presença forte em versos""","""Vocais principais não tão marcados"""
5,idol,illityunah,Yunah,ILLIT,15-01-2004,B,B,D,B,B,,Leader / Vocal Hybrid,,"""Boa estabilidade vocal, presença de palco sólida""","""Ainda não demonstrou amplitude máxima de notas mais altas"""
4,idol,itzychaeryeong,Chaeryeong,ITZY,05-06-2001,B,S,D,B,B,,All-rounder / Bright Girlcrush,,"""Visual forte, versatilidade em dança e vocal""","""Rap e flow menos destacados"""
4,idol,itzylia,Lia,ITZY,21-07-2000,A,C,D,C,A,,Main Vocal / Elegant Pop,,"""Vocal principal de excelência, alcance, controle e técnica""","""Dança pesada pode exigir apoio, rap quase inexistente"""
4,idol,itzyryujin,Ryujin,ITZY,17-04-2001,B,S,A,A,A,,Rap / Performance Front,,"""Rap de elite, entrega e presença front cam, grande impacto""","""Técnica vocal principal inferior aos melhores vocalistas"""
4,idol,itzyyeji,Yeji,ITZY,26-05-2000,A,S,C,A,A,,Leader / Girlcrush Power Pop,,"""Presença de palco dominante, danças de nível muito alto, rap sólido""","""Técnica vocal de lead ainda pode evoluir em sustain alto"""
4,idol,itzyyuna,Yuna,ITZY,09-12-2003,B,B,D,A,S,,Maknae / Visual Pop,,"""Dança fluida, presença de palco em crescimento""","""Técnica vocal e rap menos refinadas"""
4,idol,ivegaeul,Gaeul,IVE,24-09-2002,C,B,B,B,A,,Rap / Elegant-Pop,,"""Flow limpo e preciso, boa leitura rítmica, suporte vocal consistente""","""Falta destaque visual nas performances em grupo"""
4,idol,iveleeseo,Leeseo,IVE,21-02-2007,B,B,D,B,A,,Youth-Pop / Performance,,"""Boa presença, melhora técnica contínua, brilho em refrões""","""Falta de consistência vocal em notas altas, menor estabilidade em palco"""
4,idol,iveliz,Liz,IVE,21-11-2004,S,B,D,B,A,,Vocal / Ballad-Pop,,"""Controle vocal notável, alcance médio-alto excelente""","""Energia performática irregular, expressão limitada em girlcrush"""
4,idol,iverei,Rei,IVE,03-02-2004,C,B,B,B,A,,Rap / R&B-Pop,,"""Timbre único, flow melódico e distintivo, composição própria""","""Resistência limitada em lives longas, coreografia precisa porém contida"""
4,idol,ivewonyoung,Wonyoung,IVE,31-08-2004,B,B,D,S,S,,Visual / Center-Pop,,"""Center carismática, postura e expressão excepcionais""","""Falta potência vocal, dificuldade em conceitos mais maduros"""
4,idol,iveyujin,Yujin,IVE,01-09-2003,S,A,D,A,S,,Leader / Power-Pop,,"""Liderança e carisma natural, estabilidade vocal e energia de palco""","""Flow de rap limitado, estilo vocal pouco versátil"""
5,idol,iznabangjeemin,Bang Jeemin,izna,08-05-2005,C,B,D,S,A,,Dance Focus / Performance Rookie,,"""Dança de nível elevado para rookie, presença de palco boa""","""Técnica vocal ainda menos refinada"""
5,idol,iznachoijungeun,Choi Jungeun,izna,04-08-2007,A,A,D,B,B,,Visual / Supporting Vocal,,"""Visual forte, presença de câmera""","""Técnica vocal principal e rap ainda iniciante"""
5,idol,iznajeongsaebi,Jeong Saebi,izna,22-01-2008,B,B,D,B,B,,Maknae / Supporting Line,,"""Potencial de crescimento, presença de grupo crescente""","""Técnica geral ainda em fase inicial"""
5,idol,iznakoko,Koko,izna,14-11-2006,B,S,A,B,A,,Rap / International Pop,,"""Rap de destaque, entrega lírica clara""","""Técnica vocal principal e dança ainda em desenvolvimento"""
5,idol,iznamai,Mai,izna,28-10-2004,C,A,D,B,A,,Leader / Elegant Pop,,"""Vocal estável para rookie, visual marcante""","""Dança e rap ainda em fase de evolução"""
5,idol,iznaryusarang,Ryu Sarang,izna,18-04-2007,B,A,B,B,B,,Vocal / Bright Pop,,"""Projeção vocal boa para rookie, dance de suporte competente""","""Rap menos desenvolvido"""
5,idol,iznayoonjiyoonformer,Yoon Jiyoon (former),izna,14-07-2005,S,C,D,C,B,,Pop / R&B moderno,,"""Forte background de survival show, presença cênica, bons momentos em stages iniciais""","""Saiu do grupo (reportado em agosto/2025), marca presença histórica mas não é mais ativa na formação atual"""
4,idol,kep1erchaehyun,Chaehyun,Kep1er,26-04-2002,A,C,D,B,B,,Main Vocal / Pop-Ballad,,"""Vocal muito competente para a posição""","""Dança/rap linha média"""
4,idol,kep1erdayeon,Dayeon,Kep1er,02-03-2003,B,S,B,B,A,,Main Dancer / Performance,,"""Dança de alto nível""","""Vocal/rap menos destacados"""
4,idol,kep1erhikaru,Hikaru,Kep1er,12-03-2004,C,A,A,C,C,,Rap / Dance Hybrid,,"""Rap de destaque para a posição, performance energética""","""Técnica vocal principal menos desenvolvida"""
4,idol,kep1erhueningbahiyyih,Huening Bahiyyih,Kep1er,27-07-2004,C,C,D,C,C,,Vocal / International Pop,,"""Vocal estável, presença internacional""","""Dança/rap linha média"""
4,idol,kep1ermashiroformer,Mashiro (former),Kep1er,16-12-1999,B,B,D,B,B,,Soft pop / Cute,,"""Técnica vocal limpa e precisão de movimento""","""Falta impacto visual em alguns stages intensos"""
4,idol,kep1erxiaoting,Xiaoting,Kep1er,12-11-1999,B,S,D,A,S,,Lead Vocal / Visual,,"""Visual de destaque, vocal e dança equilibrados""","""Rap linha moderada"""
4,idol,kep1eryeseoformer,Yeseo (former),Kep1er,22-08-2005,B,B,D,B,B,,Cute / Youthful pop,,"""Entonação limpa e grande presença cênica""","""Estabilidade vocal irregular em lives exigentes"""
4,idol,kep1eryoungeunformer,Youngeun (former),Kep1er,27-12-2004,A,A,B,B,B,,Maknae / Supporting Line,,"""Potencial visível, performance coerente""","""Técnica individual ainda em crescimento"""
4,idol,kep1eryujin,Yujin,Kep1er,12-08-1996,B,B,D,B,B,,Leader / Dance-Vocal Hybrid,,"""Dança forte, presença de palco""","""Técnica vocal principal ainda menos refinada"""
5,idol,kiiikiiihaum,Haum,KiiiKiii,14-11-2006,B,A,D,B,A,,Performance / Dance Support,,"""Boa execução de coreografia, presença estável""","""Técnica vocal e rap ainda em desenvolvimento"""
5,idol,kiiikiiijiyu,Jiyu,KiiiKiii,14-05-2006,B,B,B,B,B,,Leader / All-rounder Pop,,"""Liderança e estabilidade, bom equilíbrio nas três áreas principais""","""Técnica de rap mais fraca, ainda em construção de presença global"""
5,idol,kiiikiiikya,Kya,KiiiKiii,18-12-2010,B,B,A,B,A,,Rap / Youth Pop,,"""Rap de destaque para rookie, flow sólido""","""Vocais principais e presença de centro menos evidentes"""
5,idol,kiiikiiileesol,Leesol,KiiiKiii,18-09-2005,B,B,A,B,B,,Main Dancer / Performance,,"""Dança de nível elevado, presença cênica forte""","""Técnica vocal principal menos refinada"""
5,idol,kiiikiiisui,Sui,KiiiKiii,10-04-2006,B,B,D,B,A,,Visual / Vocal Support,,"""Visual impactante, vocais razoáveis para rookie""","""Menos destaque em rap ou dança técnica"""
5,idol,kiirasdoyeon,Doyeon,Kiiras,26-12-2009,C,C,D,D,B,,Supporting Vocal / Performance,,"""Visual expressivo, presença de grupo estável""","""Técnica individual mais limitada"""
5,idol,kiirasharin,Harin,Kiiras,03-01-2008,B,B,D,B,B,,Visual / Dance Focus,,"""Visual muito forte, presença central em concept visuals""","""Técnica vocal principal ainda menos robusta"""
5,idol,kiiraskurumi,Kurumi,Kiiras,20-06-2006,A,C,D,B,B,,Main Vocal / International Pop,,"""Vocal emocional, paciência técnica""","""Dança e rap menos dominantes"""
5,idol,kiiraskylie,Kylie,Kiiras,17-05-2008,C,B,B,D,B,,Rap / Youth Hip-hop Pop,,"""Rap de destaque em debut, fluxo natural""","""Vocais principais ainda moderados"""
5,idol,kiiraslingling,LingLing,Kiiras,20-04-2005,B,B,D,B,C,,Leader / Global All-rounder,,"""Multilíngue, presença de palco e carisma global""","""Técnica vocal ainda em refinamento"""
5,idol,kiirasroah,Roah,Kiiras,16-10-2010,S,B,D,B,B,,Maknae / Vocal & Visual Support,,"""Potencial visível, presença de palco para rookie""","""Técnica vocal/rap/dança ainda em início de trajetória"""
4,idol,lapillusbessie,Bessie,Lapillus,15-07-2004,A,C,C,C,C,,Power Pop / Confident Youth,,"""Rapper de impacto e boa performer, forte projeção e ritmo""","""Dicção irregular em partes rápidas"""
4,idol,lapilluschanty,Chanty,Lapillus,15-12-2002,B,C,D,C,C,,Power Pop / Confident Youth,,"""Boa vocalista, naturalidade e charme de câmera""","""Coreografia limitada em potência"""
4,idol,lapillushaeun,Haeun,Lapillus,02-11-2008,B,B,B,B,C,,Power Pop / Confident Youth,,"""Maknae com destaque crescente, movimentos limpos e boa estabilidade""","""Expressividade ainda em desenvolvimento"""
4,idol,lapillusseowon,Seowon,Lapillus,05-12-2006,B,B,A,B,B,,Power Pop / Confident Youth,,"""Boa vocalista e sincronizada, entrosamento forte em grupo""","""Falta presença solo marcante"""
4,idol,lapillusshana,Shana,Lapillus,13-03-2003,B,B,D,B,C,,Power Pop / Confident Youth,,"""Líder estável, presença equilibrada e vocais limpos""","""Falta carisma mais explosivo em conceitos intensos"""
4,idol,lapillusyue,Yue,Lapillus,03-07-2004,B,C,D,C,C,,Power Pop / Confident Youth,,"""Dancer central e destaque performático, excelente controle corporal""","""Vocais instáveis sob esforço"""
4,idol,lesserafimhongeunchae,Hong Eunchae,Le Sserafim,10-11-2006,D,B,C,B,A,,Maknae / Visual Focus,,"""Visual forte, presença de palco""","""Técnica vocal e rap iniciante"""
4,idol,lesserafimhuhyunjin,Huh Yunjin,Le Sserafim,08-10-2001,A,B,D,A,A,,Vocal / Elegant Pop,,"""Vocal sólido, presença confiante""","""Rap e dança menos dominantes"""
4,idol,lesserafimkazuha,Kazuha,Le Sserafim,09-08-2003,D,A,C,B,A,,Dance / Performance Hybrid,,"""Dança de nível elevado, estética refinada""","""Técnica vocal principal menos robusta"""
4,idol,lesserafimkimchaewon,Kim Chaewon,Le Sserafim,01-08-2000,B,B,D,B,A,,Leader / Pop-Girlcrush,,"""Técnica vocal de top nível, presença de palco forte""","""Dança/rap menos destacados"""
4,idol,lesserafimsakura,Sakura,Le Sserafim,19-03-1998,D,C,D,B,A,,Visual / Performance,,"""Visual expressivo, boa execução de palco""","""Técnica vocal ainda em refinamento"""
4,idol,lightsumchowon,Chowon,LIGHTSUM,16-09-2002,A,B,C,B,B,,Lead Vocal / Bright Pop,,"""Vocais estáveis, boa presença de palco""","""Rap e dança complexa menos evidentes"""
4,idol,lightsumhina,Hina,LIGHTSUM,07-04-2003,C,B,D,C,B,,Supporting Vocal / Dance Line,,"""Presença de palco boa, dança competente""","""Técnica vocal principal média"""
4,idol,lightsumjuhyeon,Juhyeon,LIGHTSUM,08-04-2004,C,A,C,B,B,,Rap / Dance Focus / Youth Pop,,"""Rap e dança promissoras""","""Vocal principal menos refinado"""
4,idol,lightsumnayoung,Nayoung,LIGHTSUM,30-11-2002,B,A,D,A,B,,Visual / Performance Hybrid,,"""Visual expressivo, dança e vocal equilibrados""","""Rap menos destacado"""
4,idol,lightsumsangah,Sangah,LIGHTSUM,04-09-2002,C,A,B,B,B,,Rap & Dance Focus / Girlcrush,,"""Dança de altíssimo nível, rap forte""","""Técnica vocal principal menos refinada"""
4,idol,lightsumyujeong,Yujeong,LIGHTSUM,14-06-2004,C,B,D,C,B,,Maknae / Supporting Line,,"""Suporte de grupo estável""","""Técnica individual ainda em fase de desenvolvimento"""
5,idol,loossemblegowon,Gowon,Loossemble,19-11-2000,C,C,C,C,B,,All-rounder / Pop,,"""Estabilidade de performance""","""Técnica vocal principal menos refinada"""
5,idol,loossemblehyeju,Hyeju,Loossemble,13-11-2001,B,A,C,A,A,,Visual / Supporting Line,,"""Visual e presença frente à câmera""","""Técnica vocal e rap ainda em desenvolvimento"""
5,idol,loossemblehyunjin,Hyunjin,Loossemble,15-11-2000,B,B,D,A,S,,Dance-Focus / Girlcrush,,"""Domínio de dança, presença de palco forte""","""Técnica vocal principal ainda em crescimento"""
5,idol,loossemblevivi,Vivi,Loossemble,09-12-1996,C,B,D,C,B,,Supporting Vocal / Performance,,"""Versatilidade e presença nos vocais de suporte""","""Rap e dança de nível médio"""
5,idol,loossembleyeojin,Yeojin,Loossemble,11-11-2002,C,C,D,C,B,,Lead Vocal / Visual,,"""Visual muito forte, bom vocal para o grupo""","""Rap linha pouco destacada"""
5,idol,meovvanna,Anna,Meovv,17-11-2005,C,C,D,B,S,,Visual / Supporting Vocal,,"""Visual forte, presença internacional""","""Técnica vocal principal ainda em refinamento"""
5,idol,meovvella,Ella,Meovv,01-12-2008,B,B,D,B,A,,Visual / Maknae / Supporting Line,,"""Visual altíssimo nível, presença para câmera""","""Técnica vocal/rap/dança ainda em fase inicial"""
5,idol,meovvgawon,Gawon,Meovv,27-04-2005,B,A,S,B,B,,Vocal / Visual / Global Pop,,"""Visual marcante, desempenho vocal sólido""","""Rap/dança de apoio menos destacado"""
5,idol,meovvnarin,Narin,Meovv,15-08-2007,B,A,S,B,B,,Rap / Vocal Hybrid,,"""Rap de destaque, fluxo bom""","""Técnica vocal principal moderada"""
5,idol,meovvsooin,Sooin,Meovv,12-04-2005,B,B,D,A,A,,Main Vocal / Main Dancer,,"""Forte nas duas áreas principais, presença de palco""","""Rap linha menos desenvolvida"""
4,idol,natureaurora,Aurora,Nature,14-01-1997,C,C,D,C,B,,Fresh / Bright Pop,,"""Expressiva, com domínio técnico e visual chamativo, forte presença internacional""","""Pronúncia coreana ocasionalmente limitada"""
4,idol,naturechaebin,Chaebin,Nature,28-07-1999,A,C,D,C,B,,Fresh / Bright Pop,,"""Main vocal de timbre limpo e emocional""","""Menos presença corporal em palco"""
4,idol,natureharu,Haru,Nature,21-02-2000,C,A,D,C,C,,Fresh / Bright Pop,,"""Excelente dancer, potência e precisão, presença cênica superior""","""Vocais discretos em performances ao vivo"""
4,idol,natureloha,Loha,Nature,27-12-2001,C,B,C,B,C,,Fresh / Bright Pop,,"""Boa performer equilibrada, transmite leveza""","""Falta potência vocal"""
4,idol,naturelu,Lu,Nature,03-12-1997,B,B,D,B,C,,Fresh / Bright Pop,,"""Vocal agradável e boa coordenação rítmica""","""Falta de destaque marcante individual"""
4,idol,naturesaebom,Saebom,Nature,30-01-1997,B,A,C,A,A,,Fresh / Bright Pop,,"""Boa rapper-dancer híbrida, transmite confiança""","""Menos estabilidade vocal em faixas intensas"""
4,idol,naturesohee,Sohee,Nature,20-01-1995,A,B,D,B,C,,Fresh / Bright Pop,,"""Técnica vocal estável e presença carismática, ex-IBI com forte experiência de palco""","""Performance em dança menos energética comparada ao resto"""
4,idol,naturesunshine,Sunshine,Nature,20-06-2002,B,C,D,C,C,,Fresh / Bright Pop,,"""Performer energética e estável""","""Respiração irregular em notas longas"""
4,idol,natureuchae,Uchae,Nature,07-05-2002,C,B,C,C,A,,Fresh / Bright Pop,,"""Visual e dancer consistente, expressão refinada""","""Projeção vocal mais suave"""
5,idol,newjeansdanielle,Danielle,NewJeans,11-04-2005,A,B,C,B,B,,Bright Pop / Visual,,"""Visual muito forte, presença de palco""","""Técnica de dança/rap menos evidente"""
5,idol,newjeanshaerin,Haerin,NewJeans,15-05-2006,B,A,C,B,B,,Youth Pop / Dance Focus,,"""Coreografia fluida, presença natural""","""Técnica vocal principal menos refinada"""
5,idol,newjeanshanni,Hanni,NewJeans,06-10-2004,B,A,C,A,B,,Main Vocal / International Pop,,"""Voz clara, alcance sólido, apelo multicultural""","""Rap/dança técnica menor"""
5,idol,newjeanshyein,Hyein,NewJeans,21-04-2008,B,B,C,B,B,,Maknae / Pop Support,,"""Potencial visível, boa presença de grupo""","""Técnica vocal/rap/dança ainda iniciando"""
5,idol,newjeansminji,Minji,NewJeans,07-05-2004,C,B,C,B,A,,Leader-like / Pop Next-Gen,,"""Boa versatilidade, presença forte no palco""","""Técnica de rap menos demonstrada"""
4,idol,niziuayaka,Ayaka,NiziU,20-06-2003,C,C,D,B,A,,Bright Pop / Teen Refresh,,"""Excelente visual, transmite charme e suavidade""","""Falta técnica vocal e firmeza nos movimentos"""
4,idol,niziumako,Mako,NiziU,04-04-2001,B,B,C,B,C,,Bright Pop / Teen Refresh,,"""Liderança e presença, estabilidade notável em performances""","""Falta brilho individual fora do papel de líder"""
4,idol,niziumaya,Maya,NiziU,08-04-2002,B,B,D,B,C,,Bright Pop / Teen Refresh,,"""Bom controle vocal, expressão emocional convincente""","""Baixo impacto dançante, pouca energia em estágios"""
4,idol,niziumayuka,Mayuka,NiziU,13-11-2003,B,B,S,B,A,,Bright Pop / Teen Refresh,,"""Boa rapper e vocal versátil, equilíbrio geral sólido""","""Falta de impacto visual nos stages"""
4,idol,niziumiihi,Miihi,NiziU,12-08-2004,A,B,D,B,A,,Bright Pop / Teen Refresh,,"""Potência vocal, timbre limpo e carismático, expressiva""","""Estabilidade inconsistente em notas longas ao vivo"""
4,idol,niziunina,Nina,NiziU,27-02-2005,A,B,D,B,C,,Bright Pop / Teen Refresh,,"""Melhor alcance vocal do grupo, controle técnico excelente""","""Coreografias menos refinadas"""
4,idol,niziuriku,Riku,NiziU,26-10-2002,A,B,D,B,C,,Bright Pop / Teen Refresh,,"""Visual expressivo, tom vocal leve e agradável""","""Dificuldade em controle de respiração"""
4,idol,niziurima,Rima,NiziU,26-03-2004,B,B,S,B,C,,Bright Pop / Teen Refresh,,"""Flow natural, dicção clara em japonês e inglês""","""Pode soar forçada em estilos cute"""
4,idol,niziurio,Rio,NiziU,04-02-2002,B,B,C,C,C,,Bright Pop / Teen Refresh,,"""Excelente dançarina, presença muito natural, bom flow""","""Limitações vocais notáveis em faixas mais melódicas"""
4,idol,nmixxbae,Bae,NMIXX,28-12-2004,B,B,D,C,C,,Lead Vocal / Tall Member,,"""Visual forte, estabilidade vocal""","""Dança/rap menos destacadas"""
4,idol,nmixxhaewon,Haewon,NMIXX,25-02-2003,A,B,C,A,A,,Leader / Main Vocal,,"""Vocal refinado para a posição, presença de palco forte""","""Rap/dança com menor foco técnico"""
4,idol,nmixxjiwoo,Jiwoo,NMIXX,13-04-2005,C,B,A,C,B,,Main Rap / Vocal Hybrid,,"""Rap de destaque, entrega articula bem""","""Técnica vocal principal menos refinada"""
4,idol,nmixxkyujin,Kyujin,NMIXX,26-05-2006,B,A,A,S,B,,Main Dancer / Maknae,,"""Dança de nível competitivo, presença consistente""","""Vocal/rap menos destacadas"""
4,idol,nmixxlily,Lily,NMIXX,17-10-2002,S,B,D,B,C,,Main Vocal / International,,"""Excelente alcance, experiência internacional""","""Rap quase ausente, dança mediana"""
4,idol,nmixxsullyoon,Sullyoon,NMIXX,26-01-2004,A,B,D,B,S,,Lead Vocal / Dance Hybrid,,"""Dança excelente, boa presença no palco""","""Técnica vocal de topo ainda em pequena margem"""
5,idol,oddyouthkanie,Kanie,ODD YOUTH,28-07-2007,C,B,D,C,B,,All-rounder / Youth Pop,,"""Dança competitiva, visual forte""","""Técnica vocal principal com margem de crescimento"""
5,idol,oddyouthmaika,Maika,ODD YOUTH,16-02-2005,D,B,D,C,B,,Leader / Next-Gen Pop,,"""Boa dança, presença de palco forte""","""Técnica vocal principal ainda em crescimento"""
5,idol,oddyouthmyah,Myah,ODD YOUTH,19-06-2006,B,A,B,A,B,,Vocal / Performance Focus,,"""Vocal estável, presença internacional""","""Rap e dança menos destacados"""
5,idol,oddyouthsummer,Summer,ODD YOUTH,23-09-2007,B,B,D,B,A,,Rap / Urban Pop,,"""Rap de destaque para idade/júnior""","""Vocal e visual menos evidentes"""
5,idol,oddyouthyeeum,Yeeum,ODD YOUTH,27-12-2007,B,C,D,C,B,,Maknae / Supporting Line,,"""Potencial visível, boa base de desempenho""","""Técnica geral ainda em fase de desenvolvimento"""
4,idol,pixydajeong,Dajeong,PIXY,31-07-2003,B,B,D,C,C,,Dark Fantasy / Girl Crush,,"""Maknae com energia e sincronização sólidas""","""Projeção vocal moderada"""
4,idol,pixydia,Dia,PIXY,16-07-2001,B,B,D,B,C,,Dark Fantasy / Girl Crush,,"""Vocalista principal com ótimo controle e emoção""","""Movimentos um pouco rígidos em coreos pesadas"""
4,idol,pixyellaformer,Ella (former),PIXY,26-03-1998,A,A,D,B,C,,Dark Fantasy / Girl Crush,,"""Excepcional presença, uma das vozes mais distintas do grupo""","""Forçada a se afastar por saúde, estabilidade vocal caiu nas últimas promoções"""
4,idol,pixylola,Lola,PIXY,22-02-2001,B,B,C,B,B,,Dark Fantasy / Girl Crush,,"""Excelente rapper e performer, presença de palco dominante""","""Vocais menos potentes"""
4,idol,pixysatbyeolformer,Satbyeol (former),PIXY,27-02-2001,D,B,C,C,C,,Dark Fantasy / Girl Crush,,"""Boa rapper e performer estável, contribuiu ao equilíbrio sonoro""","""Expressividade limitada em close-ups"""
4,idol,pixysua,Sua,PIXY,24-02-2003,B,B,D,C,C,,Dark Fantasy / Girl Crush,,"""Líder e dancer excepcional, precisão e teatralidade notáveis""","""Dificuldade em manter expressão neutra em conceitos suaves"""
5,idol,primrosehayun,Hayun,PRIMROSE,20-11-2003,C,C,D,B,B,,Maknae / Supporting Vocal,,"""Presença de palco delicada, visual suave""","""Técnica vocal/rap/dança ainda em fase inicial"""
5,idol,primrosenahyun,Nahyun,PRIMROSE,25-01-2002,B,B,D,B,B,,Main Vocal / Pop Ballad,,"""Vocal líder forte, técnica refinada""","""Dança e rap menos dominantes"""
5,idol,primroserainie,Rainie,PRIMROSE,16-11-2000,D,C,D,C,C,,Vocal / International Pop,,"""Visual forte, apoio vocal sólido""","""Rap e dança com menor destaque"""
5,idol,primroseruby,Ruby,PRIMROSE,21-08-2002,D,C,D,C,C,,Rap / Dance / Visual Hybrid,,"""Rap e dança de alto nível, presença de palco muito boa""","""Técnica vocal principal com mais espaço para crescimento"""
4,idol,purplekisschaein,Chaein,Purple Kiss,05-12-2002,A,A,D,B,B,,Lead Vocal / Visual,,"""Visual de destaque, boa estabilidade vocal""","""Dança/rap linha média"""
4,idol,purplekissdosie,Dosie,Purple Kiss,11-02-2000,B,A,D,A,B,,Main Dancer / Supporting Vocal,,"""Dança de nível muito alto""","""Vocal principal poderia ter mais projeção"""
4,idol,purplekissnagoeun,Na Goeun,Purple Kiss,03-09-1999,S,B,D,B,B,,Main Vocal / Lead Dancer / Pop-Rock,,"""Técnica de vocal de topo, presença de palco forte""","""Rap linha menos desenvolvida"""
4,idol,purplekissireh,Ireh,Purple Kiss,30-04-2002,B,A,D,B,B,,Lead Dancer / Sub Vocal,,"""Coreografia fluida e presença marcante""","""Rap e liderança menos evidentes"""
4,idol,purplekissswan,Swan,Purple Kiss,11-07-2003,S,C,D,B,B,,Main Vocal / Maknae,,"""Vocal potente, timbre único""","""Dança mais básica, rap praticamente ausente"""
4,idol,purplekissyuki,Yuki,Purple Kiss,06-11-2002,C,B,S,B,B,,Main Rapper / Lead Dancer,,"""Rap técnico e entrega sólida""","""Vocal principal limitado"""
5,idol,queenzeyeahyoon,Ahyoon,Queenz Eye,24-09-2003,C,B,B,B,C,,Main Dancer / Rap Focus,,"""Rap potente, entrega forte""","""Vocal principal e presença de centro menos definidas"""
5,idol,queenzeyejinyul,Jinyul,Queenz Eye,03-12-2004,B,B,D,B,B,,Dance / Visual Rookie,,"""Dança competente, visual bom""","""Técnica vocal/rap para desenvolver"""
5,idol,queenzeyekiirii,Kiirii,Queenz Eye,08-06-2004,C,B,D,C,B,,Vocal / International Rookie,,"""Vocais promissores, apelo internacional""","""Dança/rap ainda em fase de consolidação"""
5,idol,queenzeyeseoha,Seoha,Queenz Eye,28-08-2009,B,B,D,B,C,,Maknae / Supporting Vocal,,"""Potencial visível, presença de grupo""","""Técnica geral de nível inicial"""
5,idol,queenzeyeseovin,Seovin,Queenz Eye,01-10-2004,B,B,D,C,C,,Vocal / Supporting Line,,"""Vocais sólidos de suporte, desempenho estável""","""Dança e rap de nível médio"""
