Geração,Type,ID,Nome,Grupo,Vocal,Dance,Rap,Center,Visual,Especialidade,Conceito predominante,Pontos Fortes,Pontos Fracos
4,Idol,itzyyeji,Yeji,ITZY,A,S,C,A,A,,Leader / Girlcrush Power Pop,Presença de palco dominante / danças de nível muito alto / rap sólido,Técnica vocal de lead ainda pode evoluir em sustain alto
4,Idol,itzyryujin,Ryujin,ITZY,B,S,A,A,A,,Rap / Performance Front,Rap de elite / entrega e presença front cam / grande impacto,Técnica vocal principal inferior aos melhores vocalistas
4,Idol,itzylia,Lia,ITZY,A,C,D,C,A,,Main Vocal / Elegant Pop,Vocal principal de excelência / alcance / controle e técnica,Dança pesada pode exigir apoio / rap quase inexistente
4,Idol,itzychaeryeong,Chaeryeong,ITZY,B,S,D,B,B,,All-rounder / Bright Girlcrush,Visual forte / versatilidade em dança e vocal,Rap e flow menos destacados
4,Idol,iveyujin,Yujin,IVE,S,A,D,A,S,,Leader / Power-Pop,Liderança e carisma natural / estabilidade vocal e energia de palco,Flow de rap limitado / estilo vocal pouco versátil
4,Idol,ivewonyoung,Wonyoung,IVE,B,B,D,S,S,,Visual / Center-Pop,Center carismática / postura e expressão excepcionais,Falta potência vocal / dificuldade em conceitos mais maduros
4,Idol,iverei,Rei,IVE,C,B,B,B,A,,Rap / R&B-Pop,Timbre único / flow melódico e distintivo / composição própria,Resistência limitada em lives longas / coreografia precisa porém contida
4,Idol,iveliz,Liz,IVE,S,B,D,B,A,,Vocal / Ballad-Pop,Controle vocal notável / alcance médio-alto excelente,Energia performática irregular / expressão limitada em girlcrush
4,Idol,iveleeseo,Leeseo,IVE,B,B,D,B,A,,Youth-Pop / Performance,Boa presença / melhora técnica contínua / brilho em refrões,Falta de consistência vocal em notas altas / menor estabilidade em palco
4,Idol,ivegaeul,Gaeul,IVE,C,B,B,B,A,,Rap / Elegant-Pop,Flow limpo e preciso / boa leitura rítmica / suporte vocal consistente,Falta destaque visual nas performances em grupo
5,Idol,iznayoonjiyoonformer,Yoon Jiyoon (former),izna,S,C,D,C,B,,Pop / R&B moderno,Forte background de survival show / presença cênica / bons momentos em stages iniciais,Saiu do grupo (reportado em agosto/2025) / marca presença histórica mas não é mais ativa na formação atual (Kpop Profiles)
5,Idol,iznaryusarang,Ryu Sarang,izna,B,A,B,B,B,,Vocal / Bright Pop,Projeção vocal boa para rookie / dance de suporte competente,Rap menos desenvolvido
5,Idol,iznamai,Mai,izna,C,A,D,B,A,,Leader / Elegant Pop,Vocal estável para rookie / visual marcante,Dança e rap ainda em fase de evolução
5,Idol,iznakoko,Koko,izna,B,S,A,B,A,,Rap / International Pop,Rap de destaque / entrega lírica clara,Técnica vocal principal e dança ainda em desenvolvimento
5,Idol,iznajeongsaebi,Jeong Saebi,izna,B,B,D,B,B,,Maknae / Supporting Line,Potencial de crescimento / presença de grupo crescente,Técnica geral ainda em fase inicial
5,Idol,iznachoijungeun,Choi Jungeun,izna,A,A,D,B,B,,Visual / Supporting Vocal,Visual forte / presença de câmera,Técnica vocal principal e rap ainda iniciante
5,Idol,iznabangjeemin,Bang Jeemin,izna,C,B,D,S,A,,Dance Focus / Performance Rookie,Dança de nível elevado para rookie / presença de palco boa,Técnica vocal ainda menos refinada
4,Idol,kep1eryujin,Yujin,Kep1er,B,B,D,B,B,,Leader / Dance-Vocal Hybrid,Dança forte / presença de palco,Técnica vocal principal ainda menos refinada
4,Idol,kep1eryoungeunformer,Youngeun (former),Kep1er,A,A,B,B,B,,Maknae / Supporting Line,Potencial visível / performance coerente,Técnica individual ainda em crescimento
4,Idol,kep1eryeseoformer,Yeseo (former),Kep1er,B,B,D,B,B,,Cute / Youthful pop,Entonação limpa e grande presença cênica,Estabilidade vocal irregular em lives exigentes
4,Idol,kep1erxiaoting,Xiaoting,Kep1er,B,S,D,A,S,,Lead Vocal / Visual,Visual de destaque / vocal e dança equilibrados,Rap linha moderada
4,Idol,kep1ermashiroformer,Mashiro (former),Kep1er,B,B,D,B,B,,Soft pop / Cute,Técnica vocal limpa e precisão de movimento,Falta impacto visual em alguns stages intensos
4,Idol,kep1erhueningbahiyyih,Huening Bahiyyih,Kep1er,C,C,D,C,C,,Vocal / International Pop,Vocal estável / presença internacional,Dança/rap linha média
4,Idol,kep1erhikaru,Hikaru,Kep1er,C,A,A,C,C,,Rap / Dance Hybrid,Rap de destaque para a posição / performance energética,Técnica vocal principal menos desenvolvida
4,Idol,kep1erdayeon,Dayeon,Kep1er,B,S,B,B,A,,Main Dancer / Performance,Dança de alto nível,Vocal/rap menos destacados
4,Idol,kep1erchaehyun,Chaehyun,Kep1er,A,C,D,B,B,,Main Vocal / Pop-Ballad,Vocal muito competente para a posição,Dança/rap linha média
5,Idol,kiiikiiisui,Sui,KiiiKiii,B,B,D,B,A,,Visual / Vocal Support,Visual impactante / vocais razoáveis para rookie,Menos destaque em rap ou dança técnica
5,Idol,kiiikiiileesol,Leesol,KiiiKiii,B,B,A,B,B,,Main Dancer / Performance,Dança de nível elevado / presença cênica forte,Técnica vocal principal menos refinada
5,Idol,kiiikiiikya,Kya,KiiiKiii,B,B,A,B,A,,Rap / Youth Pop,Rap de destaque para rookie / flow sólido,Vocais principais e presença de centro menos evidentes
5,Idol,kiiikiiijiyu,Jiyu,KiiiKiii,B,B,B,B,B,,Leader / All-rounder Pop,Liderança e estabilidade / bom equilíbrio nas três áreas principais,Técnica de rap mais fraca / ainda em construção de presença global
5,Idol,kiiikiiihaum,Haum,KiiiKiii,B,A,D,B,A,,Performance / Dance Support,Boa execução de coreografia / presença estável,Técnica vocal e rap ainda em desenvolvimento
5,Idol,kiirasroah,Roah,Kiiras,S,B,D,B,B,,Maknae / Vocal & Visual Support,Potencial visível / presença de palco para rookie,Técnica vocal/rap/dança ainda em início de trajetória
5,Idol,kiiraslingling,LingLing,Kiiras,B,B,D,B,C,,Leader / Global All-rounder,Multilíngue / presença de palco e carisma global,Técnica vocal ainda em refinamento
5,Idol,kiiraskylie,Kylie,Kiiras,C,B,B,D,B,,Rap / Youth Hip-hop Pop,Rap de destaque em debut / fluxo natural,Vocais principais ainda moderados
5,Idol,kiiraskurumi,Kurumi,Kiiras,A,C,D,B,B,,Main Vocal / International Pop,Vocal emocional / paciência técnica,Dança e rap menos dominantes
5,Idol,kiirasharin,Harin,Kiiras,B,B,D,B,B,,Visual / Dance Focus,Visual muito forte / presença central em concept visuals,Técnica vocal principal ainda menos robusta
5,Idol,kiirasdoyeon,Doyeon,Kiiras,C,C,D,D,B,,Supporting Vocal / Performance,Visual expressivo / presença de grupo estável,Técnica individual mais limitada
4,Idol,lapillusyue,Yue,Lapillus,B,C,D,C,C,,Power Pop / Confident Youth,Dancer central e destaque performático / excelente controle corporal,Vocais instáveis sob esforço
4,Idol,lapillusshana,Shana,Lapillus,B,B,D,B,C,,Power Pop / Confident Youth,Líder estável / presença equilibrada e vocais limpos,Falta carisma mais explosivo em conceitos intensos
4,Idol,lapillusseowon,Seowon,Lapillus,B,B,A,B,B,,Power Pop / Confident Youth,Boa vocalista e sincronizada / entrosamento forte em grupo,Falta presença solo marcante
4,Idol,lapillushaeun,Haeun,Lapillus,B,B,B,B,C,,Power Pop / Confident Youth,Maknae com destaque crescente / movimentos limpos e boa estabilidade,Expressividade ainda em desenvolvimento
4,Idol,lapilluschanty,Chanty,Lapillus,B,C,D,C,C,,Power Pop / Confident Youth,Boa vocalista / naturalidade e charme de câmera,Coreografia limitada em potência
4,Idol,lapillusbessie,Bessie,Lapillus,A,C,C,C,C,,Power Pop / Confident Youth,Rapper de impacto e boa performer / forte projeção e ritmo,Dicção irregular em partes rápidas
4,Idol,lesserafimsakura,Sakura,Le Sserafim,D,C,D,B,A,,Visual / Performance,Visual expressivo / boa execução de palco,Técnica vocal ainda em refinamento
4,Idol,lesserafimkimchaewon,Kim Chaewon,Le Sserafim,B,B,D,B,A,,Leader / Pop-Girlcrush,Técnica vocal de top nível / presença de palco forte,Dança/rap menos destacados
4,Idol,lesserafimkazuha,Kazuha,Le Sserafim,D,A,C,B,A,,Dance / Performance Hybrid,Dança de nível elevado / estética refinada,Técnica vocal principal menos robusta
4,Idol,lesserafimhuhyunjin,Huh Yunjin,Le Sserafim,A,B,D,A,A,,Vocal / Elegant Pop,Vocal sólido / presença confiante,Rap e dança menos dominantes
4,Idol,lesserafimhongeunchae,Hong Eunchae,Le Sserafim,D,B,C,B,A,,Maknae / Visual Focus,Visual forte / presença de palco,Técnica vocal e rap iniciante
4,Idol,lightsumyujeong,Yujeong,LIGHTSUM,C,B,D,C,B,,Maknae / Supporting Line,Suporte de grupo estável,Técnica individual ainda em fase de desenvolvimento
4,Idol,lightsumsangah,Sangah,LIGHTSUM,C,A,B,B,B,,Rap & Dance Focus / Girlcrush,Dança de altíssimo nível / rap forte,Técnica vocal principal menos refinada
4,Idol,lightsumnayoung,Nayoung,LIGHTSUM,B,A,D,A,B,,Visual / Performance Hybrid,Visual expressivo / dança e vocal equilibrados,Rap menos destacado
4,Idol,lightsumjuhyeon,Juhyeon,LIGHTSUM,C,A,C,B,B,,Rap / Dance Focus / Youth Pop,Rap e dança promissoras,Vocal principal menos refinado
4,Idol,lightsumhina,Hina,LIGHTSUM,C,B,D,C,B,,Supporting Vocal / Dance Line,Presença de palco boa / dança competente,Técnica vocal principal média
4,Idol,lightsumchowon,Chowon,LIGHTSUM,A,B,C,B,B,,Lead Vocal / Bright Pop,Vocais estáveis / boa presença de palco,Rap e dança complexa menos evidentes
5,Idol,loossembleyeojin,Yeojin,Loossemble,C,C,D,C,B,,Lead Vocal / Visual,Visual muito forte / bom vocal para o grupo,Rap linha pouco destacada
5,Idol,loossemblevivi,Vivi,Loossemble,C,B,D,C,B,,Supporting Vocal / Performance,Versatilidade e presença nos vocais de suporte,Rap e dança de nível médio
5,Idol,loossemblehyunjin,Hyunjin,Loossemble,B,B,D,A,S,,Dance-Focus / Girlcrush,Domínio de dança / presença de palco forte,Técnica vocal principal ainda em crescimento
5,Idol,loossemblehyeju,Hyeju,Loossemble,B,A,C,A,A,,Visual / Supporting Line,Visual e presença frente à câmera,Técnica vocal e rap ainda em desenvolvimento
5,Idol,loossemblegowon,Gowon,Loossemble,C,C,C,C,B,,All-rounder / Pop,Estabilidade de performance,Técnica vocal principal menos refinada
5,Idol,meovvsooin,Sooin,Meovv,B,B,D,A,A,,Main Vocal / Main Dancer,Forte nas duas áreas principais / presença de palco,Rap linha menos desenvolvida
5,Idol,meovvnarin,Narin,Meovv,B,A,S,B,B,,Rap / Vocal Hybrid,Rap de destaque / fluxo bom,Técnica vocal principal moderada
5,Idol,meovvgawon,Gawon,Meovv,B,A,S,B,B,,Vocal / Visual / Global Pop,Visual marcante / desempenho vocal sólido,Rap/dança de apoio menos destacado
5,Idol,meovvella,Ella,Meovv,B,B,D,B,A,,Visual / Maknae / Supporting Line,Visual altíssimo nível / presença para câmera,Técnica vocal/rap/dança ainda em fase inicial
5,Idol,meovvanna,Anna,Meovv,C,C,D,B,S,,Visual / Supporting Vocal,Visual forte / presença internacional,Técnica vocal principal ainda em refinamento
4,Idol,natureuchae,Uchae,Nature,C,B,C,C,A,,Fresh / Bright Pop,Visual e dancer consistente / expressão refinada,Projeção vocal mais suave
4,Idol,naturesunshine,Sunshine,Nature,B,C,D,C,C,,Fresh / Bright Pop,Performer energética e estável,Respiração irregular em notas longas
4,Idol,naturesohee,Sohee,Nature,A,B,D,B,C,,Fresh / Bright Pop,Técnica vocal estável e presença carismática / ex-IBI com forte experiência de palco,Performance em dança menos energética comparada ao resto
4,Idol,naturesaebom,Saebom,Nature,B,A,C,A,A,,Fresh / Bright Pop,Boa rapper-dancer híbrida / transmite confiança,Menos estabilidade vocal em faixas intensas
4,Idol,naturelu,Lu,Nature,B,B,D,B,C,,Fresh / Bright Pop,Vocal agradável e boa coordenação rítmica,Falta de destaque marcante individual
4,Idol,natureloha,Loha,Nature,C,B,C,B,C,,Fresh / Bright Pop,Boa performer equilibrada / transmite leveza,Falta potência vocal
4,Idol,natureharu,Haru,Nature,C,A,D,C,C,,Fresh / Bright Pop,Excelente dancer / potência e precisão / presença cênica superior,Vocais discretos em performances ao vivo
4,Idol,naturechaebin,Chaebin,Nature,A,C,D,C,B,,Fresh / Bright Pop,Main vocal de timbre limpo e emocional,Menos presença corporal em palco
4,Idol,natureaurora,Aurora,Nature,C,C,D,C,B,,Fresh / Bright Pop,Expressiva / com domínio técnico e visual chamativo / forte presença internacional,Pronúncia coreana ocasionalmente limitada
5,Idol,newjeansminji,Minji,NewJeans,C,B,C,B,A,,Leader-like / Pop Next-Gen,Boa versatilidade / presença forte no palco,Técnica de rap menos demonstrada
5,Idol,newjeanshyein,Hyein,NewJeans,B,B,C,B,B,,Maknae / Pop Support,Potencial visível / boa presença de grupo,Técnica vocal/rap/dança ainda iniciando
5,Idol,newjeanshanni,Hanni,NewJeans,B,A,C,A,B,,Main Vocal / International Pop,Voz clara / alcance sólido / apelo multicultural,Rap/dança técnica menor
5,Idol,newjeanshaerin,Haerin,NewJeans,B,A,C,B,B,,Youth Pop / Dance Focus,Coreografia fluida / presença natural,Técnica vocal principal menos refinada
5,Idol,newjeansdanielle,Danielle,NewJeans,A,B,C,B,B,,Bright Pop / Visual,Visual muito forte / presença de palco,Técnica de dança/rap menos evidente
4,Idol,niziurio,Rio,NiziU,B,B,C,C,C,,Bright Pop / Teen Refresh,Excelente dançarina / presença muito natural / bom flow,Limitações vocais notáveis em faixas mais melódicas
4,Idol,niziurima,Rima,NiziU,B,B,S,B,C,,Bright Pop / Teen Refresh,Flow natural / dicção clara em japonês e inglês,Pode soar forçada em estilos “cute”
4,Idol,niziuriku,Riku,NiziU,A,B,D,B,C,,Bright Pop / Teen Refresh,Visual expressivo / tom vocal leve e agradável,Dificuldade em controle de respiração
4,Idol,niziunina,Nina,NiziU,A,B,D,B,C,,Bright Pop / Teen Refresh,Melhor alcance vocal do grupo / controle técnico excelente,Coreografias menos refinadas
4,Idol,niziumiihi,Miihi,NiziU,A,B,D,B,A,,Bright Pop / Teen Refresh,Potência vocal / timbre limpo e carismático / expressiva,Estabilidade inconsistente em notas longas ao vivo
4,Idol,niziumayuka,Mayuka,NiziU,B,B,S,B,A,,Bright Pop / Teen Refresh,Boa rapper e vocal versátil / equilíbrio geral sólido,Falta de impacto visual nos stages
4,Idol,niziumaya,Maya,NiziU,B,B,D,B,C,,Bright Pop / Teen Refresh,Bom controle vocal / expressão emocional convincente,Baixo impacto dançante / pouca energia em estágios
4,Idol,niziumako,Mako,NiziU,B,B,C,B,C,,Bright Pop / Teen Refresh,Liderança e presença / estabilidade notável em performances,Falta brilho individual fora do papel de líder
4,Idol,niziuayaka,Ayaka,NiziU,C,C,D,B,A,,Bright Pop / Teen Refresh,Excelente visual / transmite charme e suavidade,Falta técnica vocal e firmeza nos movimentos
4,Idol,nmixxsullyoon,Sullyoon,NMIXX,A,B,D,B,S,,Lead Vocal / Dance Hybrid,Dança excelente / boa presença no palco,Técnica vocal de topo ainda em pequena margem
4,Idol,nmixxlily,Lily,NMIXX,S,B,D,B,C,,Main Vocal / International,Excelente alcance / experiência internacional,Rap quase ausente / dança mediana
4,Idol,nmixxkyujin,Kyujin,NMIXX,B,A,A,S,B,,Main Dancer / Maknae,Dança de nível competitivo / presença consistente,Vocal/rap menos destacadas
4,Idol,nmixxjiwoo,Jiwoo,NMIXX,C,B,A,C,B,,Main Rap / Vocal Hybrid,Rap de destaque / entrega articula bem,Técnica vocal principal menos refinada
4,Idol,nmixxhaewon,Haewon,NMIXX,A,B,C,A,A,,Leader / Main Vocal,Vocal refinado para a posição / presença de palco forte,Rap/dança com menor foco técnico
4,Idol,nmixxbae,Bae,NMIXX,B,B,D,C,C,,Lead Vocal / Tall Member,Visual forte / estabilidade vocal,Dança/rap menos destacadas
5,Idol,oddyouthyeeum,Yeeum,ODD YOUTH,B,C,D,C,B,,Maknae / Supporting Line,Potencial visível / boa base de desempenho,Técnica geral ainda em fase de desenvolvimento
5,Idol,oddyouthsummer,Summer,ODD YOUTH,B,B,D,B,A,,Rap / Urban Pop,Rap de destaque para idade/júnior,Vocal e visual menos evidentes
5,Idol,oddyouthmyah,Myah,ODD YOUTH,B,A,B,A,B,,Vocal / Performance Focus,Vocal estável / presença internacional,Rap e dança menos destacados
5,Idol,oddyouthmaika,Maika,ODD YOUTH,D,B,D,C,B,,Leader / Next-Gen Pop,Boa dança / presença de palco forte,Técnica vocal principal ainda em crescimento
5,Idol,oddyouthkanie,Kanie,ODD YOUTH,C,B,D,C,B,,All-rounder / Youth Pop,Dança competitiva / visual forte,Técnica vocal principal com margem de crescimento
4,Idol,pixysua,Sua,PIXY,B,B,D,C,C,,Dark Fantasy / Girl Crush,Líder e dancer excepcional / precisão e teatralidade notáveis,Dificuldade em manter expressão neutra em conceitos suaves
4,Idol,pixysatbyeolformer,Satbyeol (former),PIXY,D,B,C,C,C,,Dark Fantasy / Girl Crush,Boa rapper e performer estável / contribuiu ao equilíbrio sonoro,Expressividade limitada em close-ups
4,Idol,pixylola,Lola,PIXY,B,B,C,B,B,,Dark Fantasy / Girl Crush,Excelente rapper e performer / presença de palco dominante,Vocais menos potentes
4,Idol,pixyellaformer,Ella (former),PIXY,A,A,D,B,C,,Dark Fantasy / Girl Crush,Excepcional presença / uma das vozes mais distintas do grupo,Forçada a se afastar por saúde / estabilidade vocal caiu nas últimas promoções
4,Idol,pixydia,Dia,PIXY,B,B,D,B,C,,Dark Fantasy / Girl Crush,Vocalista principal com ótimo controle e emoção,Movimentos um pouco rígidos em coreos pesadas
4,Idol,pixydajeong,Dajeong,PIXY,B,B,D,C,C,,Dark Fantasy / Girl Crush,Maknae com energia e sincronização sólidas,Projeção vocal moderada
5,Idol,primroseruby,Ruby,PRIMROSE,D,C,D,C,C,,Rap / Dance / Visual Hybrid,Rap e dança de alto nível / presença de palco muito boa,Técnica vocal principal com mais espaço para crescimento
5,Idol,primroserainie,Rainie,PRIMROSE,D,C,D,C,C,,Vocal / International Pop,Visual forte / apoio vocal sólido,Rap e dança com menor destaque
5,Idol,primrosenahyun,Nahyun,PRIMROSE,B,B,D,B,B,,Main Vocal / Pop Ballad,Vocal líder forte / técnica refinada,Dança e rap menos dominantes
5,Idol,primrosehayun,Hayun,PRIMROSE,C,C,D,B,B,,Maknae / Supporting Vocal,Presença de palco delicada / visual suave,Técnica vocal/rap/dança ainda em fase inicial
4,Idol,purplekissyuki,Yuki,Purple Kiss,C,B,S,B,B,,Main Rapper / Lead Dancer,Rap técnico e entrega sólida,Vocal principal limitado
4,Idol,purplekissswan,Swan,Purple Kiss,S,C,D,B,B,,Main Vocal / Maknae,Vocal potente / timbre único,Dança mais básica / rap praticamente ausente
4,Idol,purplekissireh,Ireh,Purple Kiss,B,A,D,B,B,,Lead Dancer / Sub Vocal,Coreografia fluida e presença marcante,Rap e liderança menos evidentes
4,Idol,purplekissgoeun,Goeun,Purple Kiss,S,B,D,B,B,,Main Vocal / Lead Dancer / Pop-Rock,Técnica de vocal de topo / presença de palco forte,Rap linha menos desenvolvida
4,Idol,purplekissdosie,Dosie,Purple Kiss,B,A,D,A,B,,Main Dancer / Supporting Vocal,Dança de nível muito alto,Vocal principal poderia ter mais projeção
4,Idol,purplekisschaein,Chaein,Purple Kiss,A,A,D,B,B,,Lead Vocal / Visual,Visual de destaque / boa estabilidade vocal,Dança/rap linha média
5,Idol,queenzeyewonchae,Wonchae,Queenz Eye,B,B,D,B,C,,Leader / Main Dancer / Vocal,Dança de nível elevado / presença frontal / visual forte,Rap e voz principal ainda em refinamento
5,Idol,queenzeyeseovin,Seovin,Queenz Eye,B,B,D,C,C,,Vocal / Supporting Line,Vocais sólidos de suporte / desempenho estável,Dança e rap de nível médio
5,Idol,queenzeyeseoha,Seoha,Queenz Eye,B,B,D,B,C,,Maknae / Supporting Vocal,Potencial visível / presença de grupo,Técnica geral de nível inicial
5,Idol,queenzeyekiirii,Kiirii,Queenz Eye,C,B,D,C,B,,Vocal / International Rookie,Vocais promissores / apelo internacional,Dança/rap ainda em fase de consolidação
5,Idol,queenzeyejinyul,Jinyul,Queenz Eye,B,B,D,B,B,,Dance / Visual Rookie,Dança competente / visual bom,Técnica vocal/rap para desenvolver
5,Idol,queenzeyeahyoon,Ahyoon,Queenz Eye,C,B,B,B,C,,Main Dancer / Rap Focus,Rap potente / entrega forte,Vocal principal e presença de centro menos definidas
5,Idol,rescenezena,Zena,Rescene,B,B,D,B,A,,Dance‐Focus / Youth Pop,Dança acima da média para rookie,Técnica vocal/rap menos refinada
5,Idol,rescenewoni,Woni,Rescene,C,B,D,B,A,,Leader / Pop-Performance,Boa dança / presença de palco forte,Técnica vocal principal ainda em crescimento
5,Idol,resceneminami,Minami,Rescene,A,B,D,B,B,,Lead Vocal / Emotional Pop,Vocal refinado para o período de estreia,Rap e dança com menos destaque inicial
5,Idol,rescenemay,May,Rescene,B,C,D,C,B,,Visual / Supporting Line,Visual forte / estilo distinto,Técnica vocal/rap/dança ainda em fases iniciais
5,Idol,resceneliv,Liv,Rescene,A,C,D,B,B,,Rap / Performance Hybrid,Flow de rap promissor / presença única,Vocais principais menos evidentes
4,Idol,rocketpunchyunkyoung,Yunkyoung,Rocket Punch,B,B,D,C,C,,Color Pop / Youthful Energy,Principal dançarina / movimentos precisos e carisma de palco,Vocais limitados / pouca variedade expressiva
4,Idol,rocketpunchyeonhee,Yeonhee,Rocket Punch,B,B,D,A,B,,Color Pop / Youthful Energy,Líder sólida e equilibrada / presença forte e expressiva,Falta impacto em notas altas
4,Idol,rocketpunchsuyun,Suyun,Rocket Punch,A,B,D,C,C,,Color Pop / Youthful Energy,Melhor vocalista do grupo / excelente alcance e emoção,Falta presença cênica em partes não vocais
4,Idol,rocketpunchsohee,Sohee,Rocket Punch,C,B,C,C,C,,Color Pop / Youthful Energy,Forte em estilos modernos e expressivos / boa conexão com a câmera,Falta consistência respiratória
4,Idol,rocketpunchjuri,Juri,Rocket Punch,B,B,D,B,C,,Color Pop / Youthful Energy,Estável e experiente / forte presença vocal e expressiva,Coreografia menos fluida comparada às mais jovens
4,Idol,rocketpunchdahyun,Dahyun,Rocket Punch,B,B,C,B,B,,Color Pop / Youthful Energy,Equilibrada entre vocal e rap / potencial notável,Ainda em desenvolvimento técnico / estabilidade variável
5,Idol,saymynamesoha,Soha,SAY MY NAME,A,B,D,B,A,,Rap / Bright Pop,Rap entrega boa para rookie,Técnica vocal principal limitada
5,Idol,saymynameshuie,Shuie,SAY MY NAME,D,C,A,C,B,,New Member / Support Hybrid,Boa dança / melhoria visível,Técnica vocal principal ainda em crescimento
5,Idol,saymynameseungjoo,Seungjoo,SAY MY NAME,B,C,D,C,B,,Maknae / Visual Support,Potencial e presença de grupo,Técnica vocal/rap/dança iniciante
5,Idol,saymynamemei,Mei,SAY MY NAME,B,B,D,A,B,,Vocal / Pop Hybrid,Vocais consistentes / bom desempenho de estreia,Dança e rap menos exploradas
5,Idol,saymynamekanny,Kanny,SAY MY NAME,D,B,B,C,B,,Dance / Performance Focus,Dança de nível elevado para rookie,Técnica vocal principal ainda em refinamento
5,Idol,saymynamejunhwi,Junhwi,SAY MY NAME,C,C,C,C,A,,Maknae / Support Line,Potencial visível,Técnicas principais menos maduras
5,Idol,saymynamehitomi,Hitomi,SAY MY NAME,B,B,D,B,B,,Leader / International Pop,Visual forte e presença global / boas funções vocais,Técnica de rap e dança de destaque ainda em construção
5,Idol,saymynamedohee,Dohee,SAY MY NAME,A,B,D,S,A,,Visual / Supporting Vocal,Visual forte / presença de grupo,Técnica vocal/rap/dança ainda emergente
4,Idol,secretnumberzuuformer,Zuu (former),SECRET NUMBER,D,C,D,C,C,,Lead Vocal / Dance Hybrid,Boa dança + vocais confiáveis,Rap pouco explorado
4,Idol,secretnumbersoodamformer,Soodam (former),SECRET NUMBER,C,C,D,B,B,,Vocal / Performance Hybrid,Versatilidade como vocal e presença estável,Rap linha menos forte
4,Idol,secretnumbernavi,Navi,SECRET NUMBER,D,D,D,D,C,,Supporting Vocal / Visual,Potencial visível / presença de grupo crescente,Técnica individual ainda em fase inicial
4,Idol,secretnumberminjiformer,Minji (former),SECRET NUMBER,B,B,D,C,C,,Vocal / Sub Vocal (ex-membro),Vocais estáveis quando ativa,Já ex-membro → atividade encerrada
4,Idol,secretnumberminc,Min C,SECRET NUMBER,D,D,D,D,C,,Rap / Maknae Focus,Rap de destaque para nova formação,Vocais e dança ainda em maturação
4,Idol,secretnumberléaformer,Léa (former),SECRET NUMBER,D,B,D,C,C,,Lead Vocal / Visual (ex-membro),Vocal forte / visual de impacto,Já ex-membro → não está mais em atividade plena
4,Idol,secretnumberjinnyformer,Jinny (former),SECRET NUMBER,D,B,A,B,C,,Rap / Sub Vocal (ex-membro),Rap de destaque durante participação,Menos impacto vocal principal / ex-membro
4,Idol,secretnumberebin,Ebin,SECRET NUMBER,D,D,D,D,C,,Main Vocal / Rookie,Vocal líder promissor,Dança/rap menos desenvolvidos
4,Idol,secretnumberditaformer,Dita (former),SECRET NUMBER,B,A,D,A,B,,Dance / Sub Vocal (ex-membro),Dança excelente / desempenho de palco,Vocal/rap menos dominantes / não mais ativa no grupo
4,Idol,secretnumberdinda,Dinda,SECRET NUMBER,C,C,D,B,B,,Dance / Support Vocal,Dança de nível para rookie,Vocais/rap com menos impacto técnico
4,Idol,secretnumberdeniseformer,Denise (former),SECRET NUMBER,A,B,D,B,C,,Vocal / Maknae Support (ex-membro),Boa voz para debut,Técnica de dança/rap moderada / saiu em 2022
5,Idol,soloistyves,Yves,Soloist,B,S,C,B,C,,Art Pop / R&B / Conceptual,Dancer sofisticada e excelente controle corporal / estilo artístico único,Faixas mais mainstream reduzem seu impacto
4,Idol,soloistleechaeyeon,Lee Chaeyeon,Soloist,A,S,C,C,C,,Performance / Pop Hip-hop,Uma das dançarinas mais técnicas da 4ª geração / presença poderosa e versátil,Voz mais leve / perde projeção em notas agudas longas
4,Idol,soloistkwoneunbi,Kwon Eunbi,Soloist,A,A,C,B,A,,Mature Pop / Elegant Concept,Estilo refinado / controle vocal sólido / e consistência em palco,Movimentos podem parecer contidos em faixas de alta energia
4,Idol,soloistjoyuri,Jo Yuri,Soloist,S,C,D,B,B,,Vocal Pop / Emotional Ballad,Controle vocal impecável / projeção forte e expressividade acima da média / boa intérprete,Performance de palco menos energética em coreografias complexas
4,Idol,soloistjeonsomi,Jeon Somi,Soloist,B,A,C,S,S,,Pop / Hip-hop Fusion,Performer global / carisma forte / domínio total de palco,Por vezes / foco maior em imagem do que em técnica vocal pura
5,Idol,soloistchuu,Chuu,Soloist,S,B,C,B,B,,Bright Pop / R&B,Timidez vocal natural e carisma genuíno / timbre limpo e potente,Coreografias podem parecer suaves demais em conceitos girlcrush
4,Idol,soloistchoiyena,Choi Yena,Soloist,B,B,B,B,B,,Pop Rock / Bright Concept,Performer completa / versátil e carismática / boa rapper melódica,Expressividade vocal menos emocional em baladas
4,Idol,staycyoon,Yoon,STAYC,A,B,D,B,A,,Lead Vocal / Maknae,Visual e presença interessante,Técnica vocal principal/modulo de rap/dança precisa melhorar
4,Idol,staycsumin,Sumin,STAYC,B,B,C,C,B,,Leader / Vocal-Rapper Hybrid,Boa estabilidade vocal + entrega de rap suportada,Técnica de dança de elite ainda pode evoluir
4,Idol,staycsieun,Sieun,STAYC,S,B,A,A,B,,Main Vocal / Visual Front,Vocais de altíssimo nível / presença de palco forte,Rap praticamente ausente / dança precisa de mais destaque
4,Idol,staycseeun,Seeun,STAYC,C,B,D,C,B,,Dance / Support Vocal,Dança de alto nível / presença de palco,Vocais principais abaixo de alguns pares
